PERMNO,date,SHRCD,EXCHCD,SICCD,TICKER,COMNAM,SHRCLS,PRC,VOL,RET,SHROUT,NUMTRD,sprtrn
14593,19931008,11,3,3573,AAPL,APPLE COMPUTER INC,,22.62500,1249328,-0.016304,116147,1063,0.002461
14593,19931011,11,3,3573,AAPL,APPLE COMPUTER INC,,23.75000,1456935,0.049724,116147,1307,0.001238
14593,19931012,11,3,3573,AAPL,APPLE COMPUTER INC,,24.00000,2740403,0.010526,116147,1820,0.000521
14593,19931013,11,3,3573,AAPL,APPLE COMPUTER INC,,24.00000,1592728,0.000000,116147,1260,0.000802
14593,19931014,11,3,3573,AAPL,APPLE COMPUTER INC,,23.75000,1519152,-0.010417,116147,1316,0.011571
14593,19931015,11,3,3573,AAPL,APPLE COMPUTER INC,,28.25000,8823701,0.189474,116147,5197,0.005719
14593,19931018,11,3,3573,AAPL,APPLE COMPUTER INC,,28.37500,2983088,0.004425,116147,2397,-0.002236
14593,19931019,11,3,3573,AAPL,APPLE COMPUTER INC,,27.75000,1951528,-0.022026,116147,1504,-0.004782
14593,19931020,11,3,3573,AAPL,APPLE COMPUTER INC,,27.75000,1240637,0.000000,116147,1084,-0.000300
14593,19931021,11,3,3573,AAPL,APPLE COMPUTER INC,,30.25000,5611631,0.090090,116147,4120,-0.001523
14593,19931022,11,3,3573,AAPL,APPLE COMPUTER INC,,30.25000,3546911,0.000000,116147,2916,-0.004491
14593,19931025,11,3,3573,AAPL,APPLE COMPUTER INC,,30.00000,1961138,-0.008264,116147,1273,0.002007
14593,19931026,11,3,3573,AAPL,APPLE COMPUTER INC,,29.75000,1991183,-0.008333,116147,1223,0.000215
14593,19931027,11,3,3573,AAPL,APPLE COMPUTER INC,,31.75000,4108232,0.067227,116147,2749,0.000668
14593,19931028,11,3,3573,AAPL,APPLE COMPUTER INC,,31.00000,2188874,-0.023622,116147,1481,0.006715
14593,19931029,11,3,3573,AAPL,APPLE COMPUTER INC,,30.75000,1225381,-0.008065,116147,1041,0.000214
14593,19931101,11,3,3573,AAPL,APPLE COMPUTER INC,,31.50000,950231,0.024390,116147,923,0.002715
14593,19931102,11,3,3573,AAPL,APPLE COMPUTER INC,,32.75000,2008313,0.039683,116147,1735,-0.001407
14593,19931103,11,3,3573,AAPL,APPLE COMPUTER INC,,31.62500,1585069,-0.034351,116147,1475,-0.011570
14593,19931104,11,3,3573,AAPL,APPLE COMPUTER INC,,32.25000,1658150,0.019763,116147,1228,-0.011943
14593,19931105,11,3,3573,AAPL,APPLE COMPUTER INC,,31.87500,3407363,-0.011628,116147,2061,0.004547
14593,19931108,11,3,3573,AAPL,APPLE COMPUTER INC,,30.75000,1495719,-0.035294,116147,1158,0.001393
14593,19931109,11,3,3573,AAPL,APPLE COMPUTER INC,,30.12500,1556123,-0.020325,116147,1265,0.000261
14593,19931110,11,3,3573,AAPL,APPLE COMPUTER INC,,30.75000,728627,0.020747,116147,697,0.007364
14593,19931111,11,3,3573,AAPL,APPLE COMPUTER INC,,31.37500,1275210,0.020325,116147,886,-0.002329
14593,19931112,11,3,3573,AAPL,APPLE COMPUTER INC,,31.75000,1286964,0.011952,116147,1038,0.005944
14593,19931115,11,3,3573,AAPL,APPLE COMPUTER INC,,32.00000,1407656,0.007874,116147,1511,-0.003524
14593,19931116,11,3,3573,AAPL,APPLE COMPUTER INC,,34.00000,2713880,0.062500,116147,2308,0.006447
14593,19931117,11,3,3573,AAPL,APPLE COMPUTER INC,,33.50000,2710314,-0.014706,116147,2292,-0.004135
14593,19931118,11,3,3573,AAPL,APPLE COMPUTER INC,,33.50000,1056933,0.000000,116147,998,-0.002560
14593,19931119,11,3,3573,AAPL,APPLE COMPUTER INC,,33.00000,1100708,-0.011343,116147,929,-0.002200
14593,19931122,11,3,3573,AAPL,APPLE COMPUTER INC,,32.50000,1347273,-0.015152,116147,940,-0.007501
14593,19931123,11,3,3573,AAPL,APPLE COMPUTER INC,,33.00000,1665027,0.015385,116147,1113,0.004138
14593,19931124,11,3,3573,AAPL,APPLE COMPUTER INC,,33.00000,810512,0.000000,116147,747,0.002885
14593,19931126,11,3,3573,AAPL,APPLE COMPUTER INC,,32.62500,389348,-0.011364,116147,324,0.001514
14593,19931129,11,3,3573,AAPL,APPLE COMPUTER INC,,31.75000,866184,-0.026820,116147,831,-0.002505
14593,19931130,11,3,3573,AAPL,APPLE COMPUTER INC,,31.50000,1008832,-0.007874,116147,907,-0.000238
14593,19931201,11,3,3573,AAPL,APPLE COMPUTER INC,,31.50000,995188,0.000000,116147,821,0.000217
